STATUS_ID,USER_ID,STATUS_TEXT
Roshelle.Pironi69_275,Roshelle.Pironi69,didactic beginner counsel snotty cushion
Zondra.Esme53_383,Zondra.Esme53,annoying advertisement bounce venomous battle
Petra.Amador23_988,Petra.Amador23,sweet recess stitch kaput wheel
Margo.Austreng99_321,Margo.Austreng99,piquant boat administer gifted kite
Jasmina.Obie49_891,Jasmina.Obie49,distinct shop stamp attractive humor
Jaclyn.Lola99_805,Jaclyn.Lola99,aboriginal lock wait erect veil
Pierrette.Norbert58_698,Pierrette.Norbert58,didactic wilderness press clammy lizards
Rozalin.Wilkey10_400,Rozalin.Wilkey10,cooing morning pay abaft breakfast
Melantha.Meng52_527,Melantha.Meng52,selective mint sip cheerful bird
Tessi.Dorr17_35,Tessi.Dorr17,nutritious girl preach toothsome mark
Colline.Gen17_849,Colline.Gen17,capricious brain fly plausible desk
Nadiya.Pappas68_728,Nadiya.Pappas68,busy art manipulate overconfident soda
Bili.Lanae93_908,Bili.Lanae93,glamorous grandfather heat light train
Andi.Venice75_701,Andi.Venice75,defeated twig smile scintillating geese
Minta.Shiff4_276,Minta.Shiff4,loving voyage sprout flipped-out spot
Mia.Keese95_758,Mia.Keese95,guttural beef use wealthy lip
Gerladina.Rubia99_426,Gerladina.Rubia99,few rock judge glorious pen
Maryl.Nutter17_762,Maryl.Nutter17,parsimonious hook doubt bizarre pies
Margie.Griggs74_571,Margie.Griggs74,flippant name strap industrious bean
Benedetta.Laddie59_454,Benedetta.Laddie59,murky haircut offend vivacious legs
Lelia.Christiano54_103,Lelia.Christiano54,ripe scent warn foolish thread
Betta.Lucchesi71_496,Betta.Lucchesi71,empty decision shelter motionless coast
Junina.Bayer82_152,Junina.Bayer82,huge umbrella wink chubby hose
Gabbie.Leonteen2_983,Gabbie.Leonteen2,salty basketball load eager wilderness
Stacee.Tine43_480,Stacee.Tine43,quick hat attack lonely guitar
Maridel.Pesek90_727,Maridel.Pesek90,godly beggar put accessible music
Thea.Chill35_568,Thea.Chill35,ripe hall administer permissible tiger
Olive.Fransen86_59,Olive.Fransen86,mindless brothers disapprove thoughtless minister
Gizela.Scott57_45,Gizela.Scott57,fearless passenger attain heady soup
Anstice.Francesca15_156,Anstice.Francesca15,giant pencil counsel screeching frame
Marge.Benilda75_208,Marge.Benilda75,maniacal needle tabulate abject trail
Alvira.Kendell94_392,Alvira.Kendell94,bumpy popcorn happen dry brick
Georgie.Uria75_981,Georgie.Uria75,lacking lawyer claim elderly smash
Carlynn.Darnall81_251,Carlynn.Darnall81,obeisant yam overthrow testy north
Cherrita.Celestyna48_71,Cherrita.Celestyna48,majestic club cough wrathful lunch
Ardenia.Coates24_916,Ardenia.Coates24,parched religion hug vulgar able
Susette.Molly96_582,Susette.Molly96,bloody woman tip crowded tray
Robin.Mehala89_186,Robin.Mehala89,jolly shoe boil didactic sidewalk
Xylina.Micheil86_27,Xylina.Micheil86,nonstop string add materialistic weight
Katharina.Uriia37_629,Katharina.Uriia37,squalid flock choose jealous eggnog
